id,brand_name,brand_slug,brand_logo_emoji,tagline,description_short,market_intelligence_insight,industry_primary,industry_secondary,exec_investor_flag,brand_maturity,year_founded,year_franchising_began,unit_count_total,unit_count_us,unit_count_pipeline,unit_growth_rate_yoy,investment_min,investment_max,cash_required_min,net_worth_required,franchise_fee,royalty_rate,marketing_fee,investment_tier,sba_eligible,robs_eligible,financing_available,veteran_discount,item_19_available,item_19_headline,avg_unit_volume,cash_on_cash_return_range,breakeven_timeline,macro_market_cagr,business_model,semi_absentee_verified,hours_per_week_typical,employees_typical,physical_location_required,home_based,mobile_van_based,territory_type,multi_unit_available,area_developer_available,target_customer,revenue_pattern,recession_resistant,growth_sector,lifestyle_fit_tags,initial_training_days,training_location,ongoing_support,field_support,marketing_support,technology_platform,franchisee_validation_available,fbr_satisfaction_score,fbr_top_200,fbr_top_200_year,entrepreneur_rank,entrepreneur_rank_year,ifa_member,fdd_available,owner_profile_archetypes,matching_tags,navigator_score,data_source_url,data_verified_date,data_notes
9,1-800 WATER DAMAGE,1-800-water-damage,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
10,1-800-Packouts,1-800-packouts,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
11,1-800-STRIPER,1-800-striper,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
12,2nd Family,2nd-family,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
13,360° Painting,360-painting,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
14,4Ever Young,4ever-young,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
15,76 Fence,76-fence,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
16,Accelerated Waste Solutions,accelerated-waste-solutions,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
17,Ace Handyman Services,ace-handyman-services,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
18,AireServ,aireserv,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
19,All American Pet Resorts,all-american-pet-resorts,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
20,All Dogs Unleashed,all-dogs-unleashed,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
21,All Dry,all-dry,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
22,Alloy Personal Training,alloy-personal-training,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
23,Always Best Care Senior Services,always-best-care-senior-services,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
24,Amazing Athletes,amazing-athletes,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
25,Appell Coatings & Striping,appell-coatings-striping,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
26,Art of Drawers,art-of-drawers,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
27,Assisted Living Locators,assisted-living-locators,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
28,Aussie Pet Mobile,aussie-pet-mobile,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
29,Bach to Rock,bach-to-rock,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
30,Bar-B-Clean,bar-b-clean,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
31,Bath Tune-Up,bath-tune-up,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
32,beem Light Sauna,beem-light-sauna,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
33,bex+Co.,bex-co,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
34,Bio-One,bio-one,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
35,Bishops Cuts/Color,bishops-cuts-color,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
36,Blingle!,blingle,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
37,Blue Kangaroo Packoutz,blue-kangaroo-packoutz,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
38,Blue Moon Estate Sales,blue-moon-estate-sales,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
39,Body20,body20,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
40,Boost Home Healthcare,boost-home-healthcare,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
41,British Swim School,british-swim-school,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
42,Bumble Bee Blinds,bumble-bee-blinds,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
43,Cabinet IQ,cabinet-iq,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
44,CareBuilders at Home,carebuilders-at-home,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
45,CarePatrol,carepatrol,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
46,Cascadia Pizza,cascadia-pizza,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
47,CertaPro Painters,certapro-painters,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
48,Chatime,chatime,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
49,Clothes Bin,clothes-bin,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
50,CMIT Solutions,cmit-solutions,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
51,ComForCare Home Care,comforcare-home-care,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
52,COOL-BINZ,cool-binz,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
53,CoolVu Glass and Surface Solutions,coolvu-glass-and-surface-solutions,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
54,Creative Colors International,creative-colors-international,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
55,CyberGlobal,cyberglobal,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
56,D1 Sports Training,d1-sports-training,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
57,Dakota London Hair Extensions,dakota-london-hair-extensions,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
58,Degree Wellness,degree-wellness,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
59,Deka Lash,deka-lash,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
60,Delta Crown,delta-crown,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
61,dermani MEDSPA,dermani-medspa,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
62,DonutNV,donutnv,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
63,Dryer Vent Wizard,dryer-vent-wizard,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
64,DuraFleet,durafleet,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
65,ecomaids,ecomaids,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
66,Ellie Mental Health,ellie-mental-health,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
67,ERA Group,era-group,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
68,EverLine Coatings,everline-coatings,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
69,Exercise Coach,exercise-coach,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
70,Express Employment Professionals,express-employment-professionals,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
71,Face Foundrie,face-foundrie,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
72,Fastest Labs,fastest-labs,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
73,Fetch! Pet Care,fetch-pet-care,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
74,Fibrenew,fibrenew,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
75,FirstLight Home Care,firstlight-home-care,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
76,Fish Window Cleaning,fish-window-cleaning,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
77,Five Star Bath Solutions,five-star-bath-solutions,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
78,Five Star Painting,five-star-painting,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
79,Floor Coverings International,floor-coverings-international,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
80,Floyd's 99 Barbershop,floyds-99-barbershop,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
81,FlyLock Security Solutions,flylock-security-solutions,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
